ID,CourseContentId,IdContent,QuestionType,QuestionContent,AAnsver,BAnswer,CAnswer,DAnswer,Answer,ResultAnswer
1,Module 4. An toà,4,1,Hãy cho biết phương thức chính mà kẻ tấn công sử dụng để cài đặt mã độc memory-scraper lên các thiết bị PoS sau khi đã ,Gửi email giả dạng người tìm việc đí,Khai thác lỗ hổng trong phần mềm quản l,Tấn công vật lý vào các thiết bị �,Sử dụng mạng không dây không an toàn đ,B,Khai thác lỗ hổng trong phần mềm quản l
2,Module 4. An toà,4,1,Hãy cho biết lý do chính khiến các tổ chức y tế trở thành nạn nhân của các cu,Dữ liệu có giá tr,Hệ thống an ninh ,Bán thiết bị ,Trả tiền chuộc để khôi ph�,D,Trả tiền chuộc để khôi ph�
3,Module 4. An toà,4,1,"Người dùng thường mắc lỗi phổ biến là sử dụng mật khẩu mặc định đối với các thiết bị mạng gia đình, việc ",Làm hỏng phần cứng của ,Mã hóa dữ liệu và đòi tiền chuộc ,Chiếm quyền điều khiển ,Sử dụng năng lực của thiết bị đ,C,Chiếm quyền điều khiển 
4,Module 4. An toà,4,1,"Hãy cho biết nguyên nhân nào dưới đây khiến cho Cơ quan Quản lý An toàn Giao thông Đường bộ Quốc gia (NHTSA) phải thu hồi 1,4 tri�",Vấn đề về túi khí không hoạt đ�,Lỗi sản xuất trong hệ thống pha,Lỗ hổng bảo mật cho phép điều khi,Lỗi trong hệ thống định vị ,C,Lỗ hổng bảo mật cho phép điều khi
5,Module 4. An toà,4,1,"Botnet Mirai, nổi tiếng với việc tạo ra các cuộc tấn công từ chối dịch vụ (DDoS) quy mô lớn, chủ yếu khai th�",i�n tho�i th�ng minh (smartphones) ch�y Android.,Máy tính cá nhân (PC) và máy tính xách tay (,"Các thiết bị IoT (như camera IP, bộ đ�",Các máy chủ (serve,C,"Các thiết bị IoT (như camera IP, bộ đ�"
6,Module 4. An toà,4,1,Các cuộc tấn công chuyển tiếp tín hiệu (Relay Attack) nhắm vào hệ thống PKES (Passive Keyless Entry) được thực ,Kẻ tấn công sử dụng một chìa khóa đa năng,Tín hiệu giữa chìa khóa và xe ô tô không �,"Hệ thống chỉ xác thực sự hiện diện của chìa khóa, không xác thực khoảng cách (hoặc ",Hệ thống PKES bị gây nhiễu (jamming) khiến nó tự,C,"Hệ thống chỉ xác thực sự hiện diện của chìa khóa, không xác thực khoảng cách (hoặc "
7,Module 4. An toà,4,1,Hãy cho biết lý do chính khiến các sản phẩm chống virus truyền thống thường có tỷ lệ phát hiện t,Chỉ kiểm tra các tệp đính k,Yêu cầu khởi động lại máy tính ,Chưa có mẫu cho mối đe d�,Sử dụng quá nhiều tài nguyên ,C,Chưa có mẫu cho mối đe d�
8,Module 4. An toà,4,1,Hãy cho biết lựa chọn nào dưới đây liên quan đ�,Người dùng xóa nhầm d,Dữ liệu bị mất do hỏ,Thông tin thẻ thanh toán bị kẻ tấn công m�,Gửi nhầm dữ liệu cho người,C,Thông tin thẻ thanh toán bị kẻ tấn công m�
9,Module 4. An toà,4,1,Hãy cho biết lỗ hổng nghiêm trọng xuất hiện trên máy tính Apple liên quan đến t�,Trình duyệt web Safari mặc ,Tính năng xác thực bằng vân tay (To,Tính năng tiết kiệm năng lượng khi máy khởi độn,Cửa hàng ứng dụng App,C,Tính năng tiết kiệm năng lượng khi máy khởi độn
10,Module 4. An toà,4,1,"Hãy cho biết lựa chọn nào dưới đây mô tả đầy đủ nhất liên quan đến một mạng lưới lỏng lẻo của những kẻ t",Nhà hoạt động tin tặc (Hact,Script Kiddies.,Tội phạm mạng (Cybercrimi,Khủng bố mạng (Cyberterror,C,Tội phạm mạng (Cybercrimi
11,Module 4. An toà,4,1,Hãy cho biết lựa chọn nào dưới đây mô tả đầy đủ nhất liên quan,Thông tin đã được cố tình che giấu và không thể truy cập qua trình du,Bất cứ thứ gì có thể được tìm thấy và lập chỉ mục b,Nội dung không thể tìm thấy bởi một công cụ tìm kiếm mà chỉ có thể truy cập qua hộp,Các trang web chợ đen của kẻ t,C,Nội dung không thể tìm thấy bởi một công cụ tìm kiếm mà chỉ có thể truy cập qua hộp
12,Module 4. An toà,4,1,Hãy cho biết tội phạm mạng (Cybercriminals) thực hiện các cuộc tấn côn,Thể hiện quan điểm ch�,Khoe khoang kỹ năng công n,Lợi ích tài ch,Gây ra sự gián đoạn và ho�,C,Lợi ích tài ch
