ID,CourseContentId,IdContent,QuestionType,QuestionContent,AAnsver,BAnswer,CAnswer,DAnswer,Answer,ResultAnswer,,,,,,,,,,,,,,,,
1,Module 6. Ứng dụng trí tuệ n,6,1,"Theo định nghĩa của Microsoft, Trí tuệ nhân tạo (AI) là nỗ l�",Tạo ra rô bốt có khả năng di chuyển và tươ,"Tạo ra một máy tính, rô bốt hoặc côn""suy ngh�"" và xử lý dữ liệu theo cách giống như con ng�",Tạo ra phần mềm có khả năng lập tr,Tạo ra một hệ thống tự động hóa hoàn toàn các qu,B,"Tạo ra một máy tính, rô bốt hoặc côn""suy ngh�"" và xử lý dữ liệu theo cách giống như con ng�",,,,,,,,,,,,,,,,
2,Module 6. Ứng dụng trí tuệ n,6,1,Mục đích của Trí tuệ nhân ,Tăng tốc độ truyền tải và lưu ,Tự động hóa các tác vụ lặp,Cải thiện khả năng kết nối giữa ,"Cải thiện công nghệ bằng cách bổ sung chức năng liên quan đến hành vi và cách con người suy luận, h�",D,"Cải thiện công nghệ bằng cách bổ sung chức năng liên quan đến hành vi và cách con người suy luận, h�",,,,,,,,,,,,,,,,
3,Module 6. Ứng dụng trí tuệ n,6,1,"Trong các năng lực sau, năng lực nào được coi là cốt lõi mà một modu",Thiết kế đồ họa và trực quan ,Phân tích hồi quy và dự báo t�,Lập trình và bảo trì hệ th,"Suy diễn, học, giải quyết vấn đề, nhận thức và trí t",D,"Suy diễn, học, giải quyết vấn đề, nhận thức và trí t",,,,,,,,,,,,,,,,
4,Module 6. Ứng dụng trí tuệ n,6,1,"Trong bối cảnh chuyển đổi số, Trí tuệ nhân tạo (AI) thường được ví như ",Cơ bắp (Điện toán đ,Giác quan (Internet vạn v�,Hệ thần k,Hệ thống miễn dịch (An nin,C,Hệ thần k,,,,,,,,,,,,,,,,
5,Module 6. Ứng dụng trí tuệ n,6,1,"Theo nghĩa hẹp, trí tuệ nhân tạo nhằm m",Thay thế hoàn toàn lao động trí óc của,Tăng cường năng lực trí tuệ củ,Xử lý dữ liệu lớn trên các ,Phân tích các mối quan hệ xã hội,B,"""Tăng cường năng lực trí tuệ c�"".",,,,,,,,,,,,,,,,
6,Module 6. Ứng dụng trí tuệ n,6,1,"Khi một hệ thống AI tích hợp nhiều module AI, nó bao gồm hai y�",Cơ sở dữ liệu và thu,Giao diện người dùng và ph�,Tác nhân và môi trường xung quanh ,Nền tảng Cloud và mạng lưới,C,Tác nhân và môi trường xung quanh ,,,,,,,,,,,,,,,,
7,Module 6. Ứng dụng trí tuệ n,6,1,Trí thông minh của các tác nhân AI được đo lường bằng khả ,Khả năng tự cập nhật ,Khả năng tái chế thiết b�,Khả năng tạo ra các mục tiêu và đạ,Khả năng tương tác với các ứng d�,C,Khả năng tạo ra các mục tiêu và đạ,,,,,,,,,,,,,,,,
8,Module 6. Ứng dụng trí tuệ n,6,1,"Trong bối cảnh AI, thuật toán học sâu dựa trên mô phỏ",Cấu trúc phân cấp của ,Cấu trúc phân tán của In,Mạng nơ-ron và hoạt động của bộ n,Cấu trúc quan hệ của cơ s�,C,Mạng nơ-ron và hoạt động của bộ n,,,,,,,,,,,,,,,,
9,Module 6. Ứng dụng trí tuệ n,6,1,"Thuật ngữ nào sau đây được xem là một nhánh của Trí tuệ nhân tạo, có mục tiêu làm cho máy móc có ",Lập trình hướng đ�,i�n to�n l��ng t�.,Máy học (Machine Learnin,Chuỗi khối (Blockcha,C,Máy học (Machine Learnin,,,,,,,,,,,,,,,,
10,Module 6. Ứng dụng trí tuệ n,6,1,Trí tuệ nhân tạo giúp giải quyết vấn đề gì liên quan đến các,Giảm số lượng thành viên tham,Trả lời những câu hỏi nền tảng để tiết k,Tự động hóa việc ghi biên bả,Giảm chi phí tổ chức cuộc họp ,B,Trả lời những câu hỏi nền tảng để tiết k,,,,,,,,,,,,,,,,
11,Module 6. Ứng dụng trí tuệ n,6,1,"Trong lĩnh vực sản xuất, AI có thể giúp tối ưu hóa hoạt đ",Giảm thiểu nhu cầu về năng lực số c,Tăng cường sử dụng các công cụ phần ,Hỗ trợ bảo trì tiên đoán để tối ưu hóa ,Tự động hóa hoàn toàn các quy trình k,C,Hỗ trợ bảo trì tiên đoán để tối ưu hóa ,,,,,,,,,,,,,,,,
12,Module 6. Ứng dụng trí tuệ n,6,1,Ba module AI phải đáp ứng được năng lực,"Suy diễn, Phân tích, Lập ","Suy diễn, Học, Giải quyết","Trình bày, Thấu cảm, Sá","Lập trình, Tính toán, Tíc",B,"Suy diễn, Học, Giải quyết",,,,,,,,,,,,,,,,
